is_std,ftd_price,num_days_ooc_per_day,sum_total_ooc_per_day,avg_win_multiplier,max_win_multiplier,min_win_multiplier,avg_total_wins,avg_wager,avg_rtp,max_rtp,min_rtp,avg_spins_left_in_bankroll,max_spins_left_in_bankroll,min_spins_left_in_bankroll,we_completed_rate,vault_tier_up_rate,vault_tier_dropdown_rate,wildball_silver_rate,wildball_gold_rate,wildball_emerald_ruby_rate,wildball_specia_diamond_rate,vv_completed_rate
0,9.99,0.25,19,94.5,104,72,0.35,105732.21,0.97,1.36,0.77,451,750,320,0,0.25,0,0.56,0.33,0.07,0.04,0.5
1,4.99,0,0,43.11,99.3,14.87,0.32,195168.54,0.63,0.83,0.44,118,365,10,0,0,0,0.13,0.13,0,0.75,0.25
0,9.99,0.88,1.38,71.83,177.5,13.3,0.34,790985.44,0.84,1.25,0.58,18,52,0,0,0.5,0.13,0.24,0.52,0.05,0.19,0.5
1,4.99,1,1,16.43,39.6,0.47,0.33,345954.92,0.53,0.84,0.05,0,0,0,0,0.14,0.14,0,0.5,0,0.5,0.29
0,4.99,1,1.67,24.87,100,1.07,0.28,261758.34,0.43,0.87,0.09,0,0,0,0,0,0,0.67,0.33,0,0,0.17
0,4.99,0,0,17.76,36.09,1.2,0.33,1696922.26,0.61,0.95,0.2,32,77,6,0,0,0,0,1,0,0,0
1,4.99,1,0.33,37.71,57.82,5.3,0.43,1472148.17,0.7,0.97,0.32,30,89,0,0,0,0,0.4,0,0,0.6,0.67
1,9.99,1,1.33,59.94,125.82,18,0.38,457587.96,0.78,0.84,0.73,17,35,1,0,0,0,0.67,0.17,0,0.17,0.33
0,4.99,1,59.13,130.67,733.53,5,0.35,117087.57,0.62,1.76,0.18,67,315,0,0,0,0.13,0.45,0.45,0.09,0,0.38
0,4.99,1,12.71,13.63,37.2,1.5,0.33,435408.01,0.41,0.67,0.17,2,5,0,0,0.14,0.14,0.33,0.33,0.33,0,0.14
0,9.99,0.33,3.33,26.42,43.76,10.5,0.34,185967.85,0.61,0.71,0.43,569,1390,157,0,0.33,0.33,0,1,0,0,0
1,24.99,0,0,27.52,46.53,12,0.36,446373.65,0.65,1.07,0.38,1101,1255,770,0,0,0,0.5,0,0.5,0,0
0,4.99,0.5,3,16.95,33.5,0.4,0.3,205102.11,0.26,0.5,0.03,0,0,0,0,0,0,0.33,0.67,0,0,0
1,4.99,0.38,0.38,50.28,100,26.3,0.41,617114.46,1.03,1.91,0.77,262,549,0,0,0,0,0.37,0.53,0.07,0.03,0.63
1,9.99,0,0,56.46,134,17.8,0.38,770987.45,0.95,1.42,0.68,160,287,43,0,0.14,0.14,0.13,0.63,0.25,0,0.14
0,24.99,0.25,3.38,50.45,122.77,1,0.37,1019862.05,0.73,1.17,0.08,1170,8252,0,0,0,0,0,0,0,0,0
1,9.99,0,0,61.04,160.16,13.33,0.38,516812.18,0.82,1.35,0.49,353,561,202,0,0.29,0.14,0.5,0.5,0,0,0.57
1,4.99,0.67,1,41.79,81.6,1.98,0.38,775046.58,0.53,0.84,0.23,0,0,0,0,0,0,0,1,0,0,0
1,24.99,0.25,0.25,112.92,259.52,20.45,0.43,2667640.58,0.78,0.99,0.53,101,145,30,0,0.25,0,0.53,0.47,0,0,0.75
0,9.99,0,0,103.16,214,36,0.3,927588.23,0.92,1.14,0.64,271,447,83,0.33,0,0,0.39,0.47,0.14,0,0.75
